Date,Count
2020-01-01,537,
2020-02-01,526,
2020-03-01,285,
2020-04-01,0,
2020-05-01,0,
2020-06-01,0,
2020-07-01,1,
2020-08-01,7,
2020-09-01,111,
2020-10-01,364,
2020-11-01,371,
2020-12-01,356,
2021-01-01,353,
2021-02-01,394,
2021-03-01,581,
2021-04-01,542,
2021-05-01,470,
2021-06-01,369,
2021-07-01,367,
2021-08-01,656,
2021-09-01,625,
2021-10-01,688,
2021-11-01,366
